"Tempo (s)","Vazao no nucleo (%)","Temperatura na perna quente (C)","Temperatura na perna fria (C)","Vazao no nucleo (kg/s)","Nivel no gerador de vapor - Faixa larga (%)","Nivel no gerador de vapor - Faixa estreita (%)","Pressao no gerador de vapor (Mpa)","Vazao de agua de alimentacao (kg/s)","Vazao de vapor (kg/s)","Vazao no circuito primario (kg/s)","Pressao no sistema primario (Mpa)","Potencia Termica (%)","Potencia Nuclear (%)","Margem de sub-resfriamento (C)","Nivel do pressurizador (%)","Temperatura media no primario (C)","acidente"
"3","91.989172685351","325.5065458045","289.41631760558","49542.11670391","45.929482424528","61.447904111282","7.6867505119725","33.890672731577","85.606514889651","92.539431005959","14.318146597658","99.693047227917","98.716258456069","20.573148043612","58.707116878727","309.54980672004","blacksem"
"4","87.394868864017","323.89295139322","290.14251470465","49068.30458003","38.562753670856","62.156314516794","7.4014428600774","33.34336985175","75.525965935387","86.787024423919","16.427968264058","99.214330928037","98.784809731884","22.320157931922","61.650728376286","309.53134392547","blacksem"
"5","83.772757367041","326.56573289275","291.05266345775","48646.693334352","31.582312446907","60.419204056633","8.2234199522076","34.354401815506","5.640398739357","80.314922774933","15.740518342232","97.416106431925","98.74060244575","21.427421195034","61.520423867453","311.97455114403","blacksem"
"6","78.233576922693","326.26808254096","293.9935439201","48281.152430188","27.503633782828","60.300013687179","6.4908505184614","32.370532501596","21.003445443227","78.764638083739","18.574352688485","96.178433980173","95.971375168848","22.895498166177","63.67112922821","311.09979539764","blacksem"
"7","71.908711251487","326.53999953195","291.3690085298","47967.888409747","22.35189722977","60.126983889944","8.4972753152781","32.659171225383","-23.616879647522","71.609112222082","16.105701374584","95.23577809187","95.947888662234","19.363778403183","65.796172473398","312.14072458261","blacksem"
"8","69.896340140052","329.47776354477","293.31274145585","47706.004699471","15.350787944704","59.04707341721","7.9077348150355","32.849734771942","-60.388258934937","70.01428960331","17.752833661264","94.22091851808","94.559471223508","17.615767133206","68.107023642199","313.57546521943","blacksem"
"9","66.056859815918","331.13066254527","296.35241520211","47620.21330337","9.9675711319711","58.722266895029","9.0663278833954","30.3083814247","-29.365287645531","65.225908398685","15.77321038747","92.251548338759","91.213560542658","14.674906917183","69.721194162241","315.82106859825","blacksem"
"10","63.036037851113","331.95961544626","295.82579955561","47580.19672521","5.485842993893","59.027050717675","6.2653069518281","30.75365864169","-51.975320845708","63.129703610876","15.710228174953","92.549019928167","91.546625344616","11.916152376101","73.051736866442","316.7290701803","blacksem"
"11","59.602101283942","334.50667868004","294.34273645373","47543.084622337","0.17170987173244","58.003795423202","9.7956214044774","32.166019979757","-37.935609338771","58.51130716558","18.396799103079","89.562483621738","89.719792113556","9.7311243308655","76.18425887552","317.29093144911","blacksem"
"12","58.163023907908","335.05347107065","297.56636224485","47500.571881135","-0.40771949327765","56.742453607205","9.326297016082","31.791651416676","-28.344268211255","56.804612752288","17.054456445012","87.331707069298","88.997107199766","8.5230416295998","75.917803151623","319.66841301659","blacksem"
"13","53.570468054741","336.77018910695","294.61545432391","47459.951244172","1.7624312302605","54.701524912367","9.0598366118116","29.338781840298","-141.5874746576","54.36874718729","15.894384747077","85.389991061699","86.337008246384","7.5866255783081","80.787604366304","320.67740966421","blacksem"
